severity,code,sheet,row,project,client,field,message,amount
critical,REFUSED_WITH_DEBT,Uchet_sdelok,2,ЖК Рыбацкое,ООО Самолет УК,,"Отказ + дебиторка 1,248,777.58",1248777.58
critical,REFUSED_WITH_DEBT,Uchet_sdelok,3,ЖК Рыбацкое,ООО Самолет УК,,"Отказ + дебиторка 1,077,308.12",1077308.12
critical,REFUSED_WITH_DEBT,Uchet_sdelok,10,ЖК Курортный,ООО Самолет УК,,"Отказ + дебиторка 383,352.69",383352.69
critical,REFUSED_WITH_DEBT,Uchet_sdelok,15,ЖК Рыбацкое,ООО Самолет УК,,"Отказ + дебиторка 572,356.11",572356.11
critical,REFUSED_WITH_DEBT,Uchet_sdelok,16,ЖК Рыбацкое,ООО Самолет УК,,"Отказ + дебиторка 395,012.88",395012.88
critical,REFUSED_WITH_DEBT,bez_ryb_NK,59,ЖК Курортный,ООО Самолет УК,,"Отказ + дебиторка 44,374.73",44374.73
error,EMPTY_PROJECT,bez_ryb_NK,277,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,277,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,277,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,278,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,278,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,278,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,279,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,279,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,279,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,280,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,280,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,280,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,281,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,281,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,281,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,282,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,282,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,282,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,283,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,283,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,283,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,284,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,284,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,284,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,285,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,285,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,285,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,286,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,286,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,286,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,287,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,287,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,287,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,288,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,288,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,288,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,289,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,289,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,289,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,290,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,290,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,290,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,291,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,291,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,291,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,292,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,292,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,292,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,293,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,293,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,293,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,294,,,,Пустой проект,
error,EMPTY_DDS,bez_ryb_NK,294,,,,Пустая статья ДДС,
error,BAD_REMAINING,bez_ryb_NK,294,,,,Некорректное «Осталось получить»,
error,EMPTY_PROJECT,bez_ryb_NK,295,,,,Пустой проект,
