Навзание проекта,Клиент,Менеджер,Отсрочка,Статья ОПиУ,Статья ДДС,Начислено с НДС,Наличие НДС,Сумма НДС,Начислено без НДС,"ИТОГО, реализация за минуоом штрафа",Оплачено аванс 1,Дата аванса,Оплачено аванс 2,Дата аванса,"УДЕРЖАНИЯ, штрафы",Окончательный расчет,Дата окончательного расчета,Осталось получить по проекту,Дата начала работ,Дата окончания проекта,Дата планового окончания проекта,месяц планового окончания работ,Дата планового поступления ДС,месяц планвого поступления  ДС,Месяц окончания проекта,Год окончания проекта,Продолжительность проекта,ДАТА УПД,Дата выставления акта,Месяц выставления акта,Дата подписания акта,№ Акта,статус акта,Срок подписание акта по п 4.6,,Регион,Статус оплаты,Оплачено,Источник
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"45 070,42",5%,"2 146,21","42 924,21","45 070,42",,,,,,,,"45 070,42",20.08.2025,19.09.2025,19.09.2025,9,24.02.2026,2,9,2025,30,28.11.2025,28.11.2025,11,23.12.2025,УКД №81,подписан,2.1.2026,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:2
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"27 623,81",5%,"1 315,42","26 308,39","27 623,81",,,,,,,,"27 623,81",01.08.2025,19.08.2025,19.08.2025,8,25.02.2026,2,8,2025,18,28.11.2025,28.11.2025,11,23.12.2025,УКД №80,подписан,2.1.2026,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:3
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"45 070,42",5%,"2 146,21","42 924,21","45 070,42",,,,,,,,"45 070,42",20.09.2025,19.10.2025,19.10.2025,10,26.02.2026,2,10,2025,29,28.11.2025,28.11.2025,11,23.12.2025,УКД №79,подписан,2.1.2026,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:4
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 560 971,98",5%,"74 332,00","1 486 639,98","1 248 777,58",,,,,"312 194,40","1 248 777,58",13.02.2026,"0,00",20.08.2025,19.09.2025,19.09.2025,9,13.02.2026,2,9,2025,30,22.09.2025,17.10.2025,10,28.10.2025,упд 29,подписан,27.10.2025,,Санкт-Петербург,Оплачено,"1248777,58",bez_ryb_NK:5
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 404 874,78",5%,"66 898,80","1 337 975,98","1 404 874,78",,,,,,"1 404 874,78",13.02.2026,"0,00",20.09.2025,19.10.2025,19.10.2025,10,13.02.2026,2,10,2025,29,19.10.2025,11.11.2025,11,26.11.2025,упд 51,подписан,06.12.2025,,Санкт-Петербург,Оплачено,"1404874,78",bez_ryb_NK:6
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"961 874,27",5%,"45 803,54","916 070,73","961 874,27",,,,,,"961 874,27",15.12.2025,"0,00",20.10.2025,19.11.2025,19.11.2025,,,,11,2025,30,19.11.2025,24.11.2025,11,04.12.2025,УПД №67,подписан,14.12.2025,,Санкт-Петербург,Оплачено,"961874,27",bez_ryb_NK:7
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 404 874,78",5%,"66 898,80","1 337 975,98","1 404 874,78",,,,,,"1 404 874,78",13.02.2026,"0,00",20.10.2025,19.11.2025,19.11.2025,11,13.02.2026,2,11,2025,30,19.11.2025,28.11.2025,11,17.12.2025,УПД №68,подписан,27.12.2025,,Санкт-Петербург,Оплачено,"1404874,78",bez_ryb_NK:8
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 176 625,45",5%,"56 029,78","1 120 595,67","1 176 625,45",,,,,,"1 176 625,45",03.02.2026,"0,00",20.10.2025,19.11.2025,19.11.2025,11,03.02.2026,2,11,2025,30,19.11.2025,24.11.2025,11,22.12.2025,УПД №69,подписан,1.1.2026,,Санкт-Петербург,Оплачено,"1176625,45",bez_ryb_NK:9
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"260 891,84",5%,"12 423,42","248 468,42","260 891,84",,,,,,"260 891,84",09.12.2025,"0,00",20.10.2025,19.11.2025,19.11.2025,,09.12.2025,12,11,2025,30,19.11.2025,24.11.2025,11,02.12.2025,УПД №61,подписан,12.12.2025,,Санкт-Петербург,Оплачено,"260891,84",bez_ryb_NK:10
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"407 255,33",5%,"19 393,11","387 862,22","407 255,33",,,,,,"407 255,33",09.12.2025,"0,00",20.10.2025,19.11.2025,19.11.2025,,09.12.2025,12,11,2025,30,19.11.2025,24.11.2025,11,02.12.2025,УПД №62 ,подписан,12.12.2025,,Санкт-Петербург,Оплачено,"407255,33",bez_ryb_NK:11
