"","Статья ДДС","ИТОГО, реализация за минуоом штрафа","Дата планового поступления ДС","месяц планвого поступления  ДС"
"","Поступление Клининг (ОД)","45 070,42","03.04.2026","4"
"","Поступление Клининг (ОД)","27 623,81","03.04.2026","4"
"","Поступление Клининг (ОД)","45 070,42","03.04.2026","4"
"","Поступление Клининг (ОД)","1 248 777,58","13.02.2026","2"
"","Поступление Клининг (ОД)","1 404 874,78","13.02.2026","2"
"","Поступление Клининг (ОД)","961 874,27","15.12.2025",""
"","Поступление Клининг (ОД)","1 404 874,78","13.02.2026","2"
"","Поступление Клининг (ОД)","1 176 625,45","03.02.2026","2"
"","Поступление Клининг (ОД)","260 891,84","09.12.2025",""
"","Поступление Клининг (ОД)","407 255,33","09.12.2025",""
"","Поступление Клининг (ОД)","548 524,36","19.12.2025",""
"","Поступление Клининг (ДУ)","233 873,05","09.12.2025",""
"","Поступление Клининг (ОД)","347 995,12","11.12.2025",""
"","Поступление Клининг (ОД)","425 589,99","11.12.2025",""
"","Поступление Клининг (ОД)","677 663,74","15.12.2025",""
"","Поступление Клининг (ОД)","636 310,74","15.12.2025",""
"","Поступление Клининг (ОД)","585 952,74","15.12.2025",""
"","Поступление Клининг (ОД)","349 959,32","27.01.2026","1"
"","Поступление Клининг (ОД)","346 086,21","20.10.2025",""
"","Поступление Клининг (ОД)","335 188,08","20.10.2025",""
"","Поступление Клининг (ОД)","1 469 645,84","29.01.2026","1"
"","Поступление Клининг (ОД)","903 397,19","29.01.2026","1"
"","Поступление Клининг (ОД)","262 988,48","29.01.2026","1"
"","Поступление Клининг (ОД)","322 211,41","05.02.2026","2"
"","Поступление Клининг (ОД)","1 248 777,58","05.02.2026","2"
"","Поступление Клининг (ОД)","1 412 096,11","05.02.2026","2"
"","Поступление Клининг (ОД)","1 176 625,45","03.02.2026","2"
"","Поступление Клининг (ОД)","822 304,85","22.01.2026","1"
"","Поступление Клининг (ОД)","407 255,33","22.01.2026","1"
"","Поступление Клининг (ОД)","472 881,57","03.02.2026","2"
"","Поступление Клининг (ДУ)","233 873,05","22.01.2026","1"
"","Поступление Клининг (ОД)","425 589,99","27.01.2026","1"
"","Поступление Клининг (ОД)","386 661,24","27.01.2026","1"
"","Поступление Клининг (ОД)","677 663,74","27.01.2026","1"
"","Поступление Клининг (ОД)","636 310,74","27.01.2026","1"
"","Поступление Клининг (ОД)","585 952,74","27.01.2026","1"
"","Поступление Клининг (ОД)","335 188,08","27.01.2026","1"
"","Поступление Клининг (ОД)","346 086,21","27.01.2026","1"
"","Поступление Клининг (ОД)","1 791 676,56","26.02.2026","2"
"","Поступление Клининг (снег)","113 400,00","19.02.2026","2"
"","Поступление Клининг (ОД)","903 397,19","26.02.2026","2"
"","Поступление Клининг (снег)","233 651,26","19.02.2026","2"
"","Поступление Клининг (снег)","21 380,63","19.02.2026","2"
"","Поступление Клининг (ОД)","262 988,48","26.02.2026","2"
"","Поступление Клининг (ОД)","1 326 826,18","12.03.2026","3"
"","Поступление Клининг (ОД)","1 129 676,89","12.03.2026","3"
"","Поступление Клининг (ОД)","1 176 625,45","12.03.2026","3"
"","Поступление Клининг (ОД)","677 663,74","26.02.2026","2"
"","Поступление Клининг (ОД)","636 310,74","26.02.2026","2"
"","Поступление Клининг (ОД)","585 952,74","26.02.2026","2"
"","Поступление Клининг (ОД)","335 188,08","17.02.2026","2"
"","Поступление Клининг (ОД)","346 086,21","19.02.2026","2"
"","Поступление Клининг (ОД)","395 589,99","26.02.2026","2"
"","Поступление Клининг (ОД)","386 661,24","26.02.2026","2"
"","Поступление Клининг (ДУ)","109 808,43","05.02.2026","2"
"","Поступление Клининг (ОД)","578 745,61","05.03.2026","3"
"","Поступление Клининг (ОД)","407 255,33","19.03.2026","3"
"","Поступление Клининг (ОД)","822 304,85","19.03.2026","3"
"","Поступление Клининг (ДУ)","404 260,09","19.03.2026","3"
"","Поступление Клининг (ДУ)","281 102,78","05.03.2026","3"
"","Поступление Клининг (ОД)","1 791 647,55","26.03.2026","3"
"","Поступление Клининг (ОД)","903 397,19","26.03.2026","3"
"","Поступление Клининг (ОД)","262 988,48","26.03.2026","3"
"","Поступление Клининг (ОД)","499 762,23","3.4.2026","4"
"","Поступление Клининг (снег)","254 157,76","28.05.2026","5"
"","Поступление Клининг (снег)","108 412,50","2.4.2026","4"
"","Поступление Клининг (ОД)","1 248 777,58","24.03.2026","3"
"","Поступление Клининг (ОД)","1 270 500,91","24.03.2026","3"
"","Поступление Клининг (ОД)","1 176 625,45","24.03.2026","3"
"","Поступление Клининг (ОД)","677 663,74","19.03.2026","3"
